City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Ayora,EC,2021-04-16 23:05:04,-0.7393,-90.3518,78.8,89,40,11.5
68,Vaini,TO,2021-04-16 23:05:04,-21.2,-175.2,80.6,65,20,5.75
69,Arlit,NE,2021-04-16 23:05:05,18.7369,7.3853,86.22,6,11,8.41
70,Sitka,US,2021-04-16 23:05:05,57.0531,-135.33,48.2,81,75,2.24
71,Sola,VU,2021-04-16 23:01:15,-13.8833,167.55,82.72,68,42,15.28
72,Acevedo,CO,2021-04-16 23:05:06,1.8361,-75.855,66.9,96,100,2.21
73,Marsh Harbour,BS,2021-04-16 23:05:06,26.5412,-77.0636,77.05,69,1,8.61
74,Tiksi,RU,2021-04-16 23:05:07,71.6872,128.8694,-2.85,100,100,7.38
75,Busselton,AU,2021-04-16 23:05:07,-33.65,115.3333,54.0,91,40,1.99
76,Flin Flon,CA,2021-04-16 23:00:11,54.7682,-101.865,50.0,34,20,8.05
77,Cabo San Lucas,MX,2021-04-16 23:05:08,22.8909,-109.9124,82.0,47,40,9.22
78,Havre,FR,2021-04-16 23:01:56,49.5833,0.3333,41.0,87,0,8.05
79,Rio Grande,BR,2021-04-16 23:05:08,-32.035,-52.0986,68.58,87,100,5.66
80,Pergamino,AR,2021-04-16 23:05:09,-33.89,-60.5736,69.01,79,0,4.0
81,Penzance,GB,2021-04-16 23:05:09,50.1186,-5.5371,41.0,65,20,4.61
82,Faanui,PF,2021-04-16 23:05:09,-16.4833,-151.75,82.38,73,13,8.57
83,Fortuna,US,2021-04-16 23:05:10,40.5982,-124.1573,62.01,82,1,12.66
84,Dikson,RU,2021-04-16 23:05:10,73.5069,80.5464,-13.18,100,100,5.12
85,Grindavik,IS,2021-04-16 23:05:11,63.8424,-22.4338,37.4,81,75,31.07
86,Ancud,CL,2021-04-16 23:05:11,-41.8697,-73.8203,57.99,94,0,3.44
87,Sur,OM,2021-04-16 23:05:12,22.5667,59.5289,83.91,44,16,7.78
88,Bainbridge,US,2021-04-16 23:01:38,47.6262,-122.5212,78.01,25,1,10.36
89,Norman Wells,CA,2021-04-16 23:05:12,65.282,-126.8329,46.4,53,75,5.75
90,Shubarkuduk,KZ,2021-04-16 23:05:13,49.1447,56.4872,52.92,48,9,6.33
91,Joao Pinheiro,BR,2021-04-16 23:05:13,-17.7425,-46.1725,72.03,50,93,6.51
92,Kluang,MY,2021-04-16 23:05:14,2.0251,103.3328,75.2,100,20,2.44
93,Marquette,US,2021-04-16 23:05:14,46.5333,-87.6335,37.99,71,26,8.97
94,Ubinskoye,RU,2021-04-16 23:05:14,55.3068,79.6802,27.81,94,100,10.78
95,Arraial Do Cabo,BR,2021-04-16 23:05:15,-22.9661,-42.0278,71.6,88,40,5.75
96,Beian,NO,2021-04-16 23:05:15,63.6559,9.5683,35.6,87,0,4.61
97,Sao Filipe,CV,2021-04-16 23:05:16,14.8961,-24.4956,72.36,72,0,12.19
98,Mananjary,MG,2021-04-16 23:05:16,-21.2167,48.3333,73.9,91,96,4.05
99,Oranjestad,AW,2021-04-16 23:05:16,12.524,-70.027,82.4,78,20,23.02
100,Nanortalik,GL,2021-04-16 23:05:17,60.1432,-45.2371,21.07,58,29,52.21
101,Hambantota,LK,2021-04-16 23:05:17,6.1241,81.1185,77.0,100,75,3.44
102,Olinda,BR,2021-04-16 23:05:18,-8.0089,-34.8553,78.8,73,20,6.91
