City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Brenham,US,77.0,scattered clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
274,Hambantota,LK,77.79,broken clouds,6.1241,81.1185,Bungalow 63
277,Iranshahr,IR,76.86,clear sky,27.2025,60.6848,پلکه بزرگ
278,Jaicos,BR,77.45,overcast clouds,-7.3592,-41.1378,Hotel Jaicós
280,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
292,Sedona,US,77.0,clear sky,34.8697,-111.76100000000001,Amara Resort and Spa
293,Wanning,CN,77.32,broken clouds,18.8003,110.3967,Paradise Hotel
303,Mangrol,IN,79.54,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
305,Aswan,EG,87.1,scattered clouds,24.0934,32.907,Nuba Nile
312,Portland,US,75.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
313,Kampot,KH,80.6,few clouds,10.6167,104.1833,Two Moons Hotel
317,Bandarbeyla,SO,81.21,overcast clouds,9.4942,50.8122,JABIR HOTEL
333,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
334,Inirida,CO,78.13,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
335,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
338,Makaha,US,82.4,light rain,21.4694,-158.2175,Makaha Resort
339,Gaya,IN,82.63,broken clouds,24.7833,85.0,Hotel Kumar Kripa
343,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
345,Kibala,TD,87.8,few clouds,9.1104,18.3463,hotel safari
346,Karwar,IN,79.77,scattered clouds,14.8,74.1333,Netalco Connects
353,La Orilla,MX,82.67,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
356,Atar,MR,82.11,broken clouds,20.5169,-13.0499,Oumou Elghoura
358,Placido De Castro,BR,75.16,broken clouds,-10.3353,-67.1856,Hotel Carioca
359,Lazaro Cardenas,MX,82.62,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
363,Takoradi,GH,81.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
368,Kalmunai,LK,78.22,broken clouds,7.4167,81.8167,VS Villa
369,Parana,AR,75.0,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
370,Someshwar,IN,77.0,scattered clouds,13.5,75.0667,Kadinamane Homestay
372,Vanimo,PG,80.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
375,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
377,Ca Mau,VN,79.61,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
380,Lumphat,KH,75.61,overcast clouds,13.4878,106.9816,Lumphat Homestay
385,Chabahar,IR,81.66,clear sky,25.2919,60.643,هتل گدروشیا
387,Acajutla,SV,87.8,drizzle,13.5928,-89.8275,asi es
395,Kota Tinggi,MY,80.6,broken clouds,1.7381,103.8999,Canopy Tribe
397,Cayenne,GF,78.01,light rain,4.9333,-52.3333,Hôtel Le Dronmi
398,Velingara,SN,88.16,few clouds,13.15,-14.1167,Hotel Najla
