City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Wilmington Island,US,32.0036,-80.9737,73.4,56,20,8.05,few clouds
79,Salalah,OM,17.0151,54.0924,82.4,69,0,4.61,clear sky
80,Broken Hill,AU,-31.95,141.4333,48.2,66,0,10.36,clear sky
81,Iwaki,JP,37.05,140.8833,60.01,38,0,4.0,clear sky
82,Christchurch,NZ,-43.5333,172.6333,59.0,77,20,12.66,few clouds
83,Minervino Murge,IT,41.0843,16.0784,46.0,87,41,5.75,scattered clouds
84,Chokurdakh,RU,70.6333,147.9167,23.76,95,100,4.27,overcast clouds
85,Evensk,RU,61.95,159.2333,31.17,81,95,13.13,overcast clouds
86,Caravelas,BR,-17.7125,-39.2481,73.89,90,98,0.4,overcast clouds
87,Busselton,AU,-33.65,115.3333,44.01,90,4,9.6,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,14.97,few clouds
89,Sinnamary,GF,5.3833,-52.95,74.84,92,100,11.81,overcast clouds
90,Hobyo,SO,5.3505,48.5268,83.43,71,94,9.51,overcast clouds
91,Bowen,AU,-20.0167,148.2333,75.2,78,99,4.61,overcast clouds
92,Sabang,ID,5.8933,95.3214,83.64,71,84,11.74,broken clouds
93,Iqaluit,CA,63.7506,-68.5145,24.8,80,90,19.57,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,86,90,19.57,snow
95,Teguldet,RU,57.3064,88.1667,15.82,95,100,3.51,overcast clouds
96,Morondava,MG,-20.2833,44.2833,77.14,67,70,6.51,broken clouds
97,Orimattila,FI,60.8049,25.7296,41.0,59,59,1.01,broken clouds
98,Kaitangata,NZ,-46.2817,169.8464,58.66,57,8,4.34,clear sky
99,Avera,US,33.194,-82.5271,73.4,56,1,5.75,clear sky
100,New Norfolk,AU,-42.7826,147.0587,45.0,73,12,1.99,few clouds
101,Port Hardy,CA,50.6996,-127.4199,53.6,76,40,10.36,scattered clouds
102,Cidreira,BR,-30.1811,-50.2056,69.64,76,25,16.98,scattered clouds
103,Cherskiy,RU,68.75,161.3,35.04,76,44,22.86,scattered clouds
104,Netarhat,IN,23.4833,84.2667,71.24,25,32,6.49,scattered clouds
105,Araguaina,BR,-7.1911,-48.2072,72.91,94,76,3.29,broken clouds
106,Butaritari,KI,3.0707,172.7902,82.0,76,92,18.19,overcast clouds
107,Hearst,CA,49.6835,-83.6665,17.6,67,100,8.05,overcast clouds
108,Saldanha,ZA,-33.0117,17.9442,60.8,72,83,6.91,broken clouds
109,Mbour,SN,14.422,-16.9638,68.0,88,0,13.8,clear sky
110,Ewo,CG,-0.8725,14.8206,72.99,93,92,3.22,overcast clouds
111,Hilo,US,19.7297,-155.09,84.2,51,1,13.8,clear sky
112,Hamilton,US,39.1834,-84.5333,57.2,67,90,13.8,moderate rain
113,Guanhaes,BR,-18.775,-42.9325,66.06,78,93,3.49,overcast clouds
114,Saint George,US,37.1041,-113.5841,79.0,11,1,6.91,clear sky
115,Mangochi,MW,-14.4782,35.2645,66.67,90,100,7.02,overcast clouds
116,Hals,DK,56.9961,10.3081,45.0,87,40,9.22,scattered clouds
117,College,US,64.8569,-147.8028,42.8,36,20,6.91,few clouds
118,Olmos,PE,-5.9847,-79.7453,81.77,50,43,7.94,scattered clouds
119,Ilulissat,GL,69.2167,-51.1,17.6,67,39,8.05,scattered clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,68.0,88,20,12.66,few clouds
121,Balkanabat,TM,39.5108,54.3671,74.75,33,100,20.6,overcast clouds
122,Mogadishu,SO,2.0371,45.3438,82.53,74,78,12.17,light rain
123,Kodiak,US,57.79,-152.4072,44.6,81,90,9.22,haze
124,Paita,PE,-5.0892,-81.1144,71.85,73,79,17.63,broken clouds
125,Tazovskiy,RU,67.4667,78.7,-10.03,100,70,3.74,broken clouds
126,Vanavara,RU,60.34,102.2797,11.75,86,100,6.91,overcast clouds
127,Khatanga,RU,71.9667,102.5,-6.3,99,100,2.84,overcast clouds
128,Vaini,TO,-21.2,-175.2,84.2,74,20,6.91,few clouds
129,Bafq,IR,31.6128,55.4107,72.03,23,3,0.25,clear sky
130,Acapulco,MX,16.8634,-99.8901,86.0,62,40,10.36,scattered clouds
131,Kryvyy Rih,UA,47.9167,33.35,42.8,87,0,6.71,clear sky
